Dataset ID,Pipeline ID ,Performance (Accuracy Score),perf>0.88
186,209,0.98201376,1
221,277,0.880797,0
213,567,0.98201376,1
292,769,0.95257413,1
284,190,0.98201376,1
302,251,0.95257413,1
95,155,0.98201376,1
71,1109,0.95257413,1
114,1066,0.98201376,1
6,429,0.95257413,1
115,349,0.95257413,1
72,479,0.98201376,1
268,245,0.9933072,1
262,418,0.9933072,1
69,430,0.95257413,1
220,474,0.98201376,1
71,181,0.9933072,1
24,356,0.98201376,1
289,49,0.9933072,1
188,525,0.98201376,1
298,302,0.95257413,1
263,293,0.95257413,1
199,364,0.9933072,1
186,134,0.98201376,1
183,186,0.98201376,1
62,288,0.880797,0
12,228,0.98201376,1
297,485,0.95257413,1
234,184,0.98201376,1
61,711,0.98201376,1
245,93,0.880797,0
53,741,0.9933072,1
62,761,0.95257413,1
10,731,0.95257413,1
91,167,0.98201376,1
7,549,0.95257413,1
306,173,0.98201376,1
302,199,0.98201376,1
255,848,0.880797,0
71,53,0.95257413,1
163,405,0.880797,0
116,149,0.98201376,1
223,76,0.98201376,1
192,868,0.95257413,1
93,183,0.880797,0
280,337,0.880797,0
129,108,0.95257413,1
127,370,0.7310586,0
93,719,0.7310586,0
181,844,0.95257413,1
128,872,0.7310586,0
253,228,0.98201376,1
63,380,0.98201376,1
150,175,0.880797,0
44,24,0.98201376,1
192,878,0.95257413,1
275,921,0.98201376,1
275,56,0.95257413,1
233,186,0.98201376,1
180,305,0.7310586,0
20,369,0.7310586,0
292,248,0.95257413,1
263,720,0.9933072,1
9,610,0.9933072,1
196,345,0.95257413,1
275,141,0.95257413,1
307,426,0.98201376,1
220,942,0.98201376,1
130,125,0.98201376,1
267,823,0.880797,0
108,7,0.95257413,1
197,57,0.95257413,1
229,679,0.98201376,1
180,740,0.7310586,0
191,1060,0.98201376,1
233,447,0.95257413,1
89,899,0.98201376,1
192,940,0.98201376,1
127,602,0.9933072,1
125,904,0.880797,0
243,264,0.98201376,1
89,288,0.95257413,1
156,24,0.95257413,1
304,70,0.95257413,1
118,381,0.9933072,1
20,221,0.880797,0
230,180,0.98201376,1
279,507,0.95257413,1
287,131,0.95257413,1
278,1496,0.880797,0
300,32,0.98201376,1
71,698,0.95257413,1
89,258,0.880797,0
307,54,0.95257413,1
58,741,0.95257413,1
93,743,0.98201376,1
129,641,0.98201376,1
25,1014,0.95257413,1
55,120,0.9933072,1
81,507,0.880797,0
61,11,0.98201376,1
275,39,0.95257413,1
180,1014,0.7310586,0
151,300,0.95257413,1
177,844,0.98201376,1
216,596,0.98201376,1
78,302,0.98201376,1
137,483,0.98201376,1
307,80,0.9933072,1
74,283,0.880797,0
268,197,0.98201376,1
306,93,0.95257413,1
221,780,0.95257413,1
120,739,0.95257413,1
268,21,0.7310586,0
12,863,0.98201376,1
229,741,0.9933072,1
268,506,0.98201376,1
238,1098,0.9933072,1
244,1027,0.9933072,1
55,545,0.95257413,1
294,960,0.9933072,1
270,1027,0.880797,0
221,811,0.880797,0
68,239,0.95257413,1
9,6,0.98201376,1
21,375,0.95257413,1
293,930,0.95257413,1
81,716,0.7310586,0
278,398,0.98201376,1
268,233,0.7310586,0
5,97,0.9933072,1
242,1038,0.98201376,1
297,180,0.98201376,1
281,324,0.7310586,0
77,322,0.7310586,0
117,199,0.9933072,1
282,1113,0.9933072,1
170,291,0.98201376,1
69,216,0.98201376,1
9,99,0.9933072,1
244,180,0.98201376,1
106,332,0.95257413,1
245,560,0.7310586,0
12,900,0.7310586,0
275,69,0.98201376,1
243,16,0.880797,0
188,55,0.9933072,1
225,241,0.9933072,1
61,1015,0.98201376,1
275,416,0.98201376,1
213,477,0.98201376,1
305,234,0.98201376,1
221,25,0.95257413,1
279,630,0.9933072,1
59,429,0.9933072,1
55,70,0.98201376,1
41,273,0.9933072,1
0,201,0.9933072,1
12,808,0.98201376,1
172,288,0.98201376,1
14,748,0.7310586,0
184,22,0.98201376,1
279,539,0.95257413,1
243,380,0.98201376,1
149,292,0.98201376,1
6,496,0.98201376,1
177,316,0.98201376,1
177,741,0.95257413,1
94,1216,0.95257413,1
233,1461,0.95257413,1
96,221,0.9933072,1
108,126,0.880797,0
116,267,0.9933072,1
268,704,0.880797,0
129,1245,0.95257413,1
263,654,0.98201376,1
206,12,0.95257413,1
41,587,0.9933072,1
245,408,0.880797,0
86,366,0.98201376,1
100,303,0.95257413,1
255,126,0.98201376,1
91,793,0.95257413,1
180,761,0.880797,0
212,234,0.7310586,0
91,738,0.880797,0
291,660,0.9933072,1
245,664,0.98201376,1
273,844,0.9933072,1
187,691,0.9933072,1
17,85,0.98201376,1
4,438,0.7310586,0
235,631,0.95257413,1
192,406,0.98201376,1
143,708,0.98201376,1
89,1197,0.9933072,1
47,608,0.98201376,1
4,224,0.880797,0
21,127,0.9933072,1
310,431,0.98201376,1
7,21,0.9933072,1
275,187,0.98201376,1
221,172,0.9933072,1
71,865,0.98201376,1
298,133,0.98201376,1
0,170,0.9933072,1
307,294,0.95257413,1
164,215,0.98201376,1
221,48,0.95257413,1
180,120,0.98201376,1
199,10,0.9933072,1
233,625,0.98201376,1
243,706,0.98201376,1
89,24,0.9933072,1
207,215,0.9933072,1
262,95,0.98201376,1
133,322,0.98201376,1
278,585,0.98201376,1
1,291,0.98201376,1
287,592,0.880797,0
48,301,0.98201376,1
285,152,0.9933072,1
204,303,0.95257413,1
21,79,0.98201376,1
233,317,0.98201376,1
222,327,0.95257413,1
14,24,0.95257413,1
267,146,0.98201376,1
93,1219,0.95257413,1
273,404,0.98201376,1
6,491,0.9933072,1
267,216,0.880797,0
15,54,0.9933072,1
163,619,0.95257413,1
289,160,0.98201376,1
91,514,0.98201376,1
238,1069,0.9933072,1
55,448,0.9933072,1
247,233,0.98201376,1
233,9,0.95257413,1
279,1048,0.880797,0
307,186,0.9933072,1
275,63,0.9933072,1
191,947,0.95257413,1
121,508,0.98201376,1
84,587,0.95257413,1
261,930,0.880797,0
200,271,0.95257413,1
180,869,0.880797,0
294,738,0.98201376,1
262,567,0.98201376,1
294,38,0.98201376,1
200,1099,0.98201376,1
92,819,0.95257413,1
158,1027,0.9933072,1
157,664,0.880797,0
292,422,0.95257413,1
81,596,0.95257413,1
275,180,0.9933072,1
12,822,0.9933072,1
216,1,0.95257413,1
82,659,0.98201376,1
188,19,0.9933072,1
221,795,0.98201376,1
145,1021,0.9933072,1
266,120,0.95257413,1
125,293,0.95257413,1
180,1059,0.7310586,0
124,79,0.98201376,1
42,119,0.98201376,1
12,779,0.7310586,0
252,258,0.880797,0
41,43,0.95257413,1
76,517,0.98201376,1
290,685,0.9933072,1
267,20,0.95257413,1
261,27,0.95257413,1
233,80,0.95257413,1
28,244,0.95257413,1
235,56,0.9933072,1
157,728,0.95257413,1
155,660,0.98201376,1
231,51,0.9933072,1
167,865,0.9933072,1
36,287,0.98201376,1
140,244,0.95257413,1
234,229,0.98201376,1
101,69,0.95257413,1
76,171,0.95257413,1
89,505,0.9933072,1
185,565,0.9933072,1
43,659,0.9933072,1
117,773,0.9933072,1
6,660,0.9933072,1
48,1002,0.880797,0
61,67,0.7310586,0
41,1027,0.98201376,1
177,432,0.98201376,1
84,50,0.880797,0
76,473,0.9933072,1
57,1098,0.880797,0
55,1046,0.98201376,1
196,687,0.7310586,0
285,98,0.98201376,1
89,257,0.95257413,1
180,1287,0.7310586,0
294,189,0.98201376,1
223,68,0.98201376,1
271,316,0.98201376,1
220,1009,0.95257413,1
65,876,0.7310586,0
206,317,0.9933072,1
233,486,0.95257413,1
6,647,0.9933072,1
86,81,0.9933072,1
194,1051,0.7310586,0
43,448,0.9933072,1
305,286,0.98201376,1
193,171,0.95257413,1
93,61,0.95257413,1
166,658,0.98201376,1
107,99,0.98201376,1
229,303,0.9933072,1
180,926,0.7310586,0
53,301,0.98201376,1
89,21,0.98201376,1
180,695,0.880797,0
285,356,0.98201376,1
13,268,0.98201376,1
310,178,0.880797,0
91,120,0.9933072,1
20,439,0.7310586,0
243,549,0.7310586,0
180,404,0.98201376,1
64,805,0.98201376,1
36,539,0.880797,0
43,442,0.9933072,1
243,182,0.98201376,1
0,264,0.98201376,1
269,24,0.9933072,1
298,386,0.880797,0
93,571,0.95257413,1
285,745,0.98201376,1
238,271,0.9933072,1
215,54,0.9933072,1
253,120,0.95257413,1
61,664,0.880797,0
177,384,0.98201376,1
193,22,0.98201376,1
267,954,0.95257413,1
187,142,0.9933072,1
275,293,0.98201376,1
157,1097,0.98201376,1
206,844,0.95257413,1
160,47,0.7310586,0
304,653,0.98201376,1
46,323,0.95257413,1
63,735,0.98201376,1
190,750,0.95257413,1
6,377,0.9933072,1
58,91,0.9933072,1
68,267,0.9933072,1
9,460,0.95257413,1
20,128,0.98201376,1
57,8,0.98201376,1
193,151,0.95257413,1
6,199,0.9933072,1
112,125,0.9933072,1
172,327,0.9933072,1
94,232,0.98201376,1
15,193,0.9933072,1
58,322,0.98201376,1
310,653,0.95257413,1
291,588,0.98201376,1
42,202,0.98201376,1
78,49,0.98201376,1
234,69,0.9933072,1
124,189,0.9933072,1
283,321,0.95257413,1
302,160,0.9933072,1
253,377,0.95257413,1
254,1033,0.7310586,0
103,300,0.880797,0
89,922,0.9933072,1
5,462,0.98201376,1
278,121,0.7310586,0
285,297,0.98201376,1
221,447,0.95257413,1
296,56,0.9933072,1
41,624,0.95257413,1
129,1216,0.98201376,1
253,356,0.95257413,1
108,474,0.7310586,0
229,1443,0.880797,0
243,309,0.95257413,1
5,300,0.880797,0
35,747,0.98201376,1
255,442,0.95257413,1
101,514,0.7310586,0
103,284,0.98201376,1
20,446,0.9933072,1
110,300,0.98201376,1
17,407,0.9933072,1
24,221,0.98201376,1
109,943,0.95257413,1
269,97,0.9933072,1
67,236,0.9933072,1
82,214,0.98201376,1
5,257,0.880797,0
88,215,0.9933072,1
127,316,0.98201376,1
304,511,0.98201376,1
183,411,0.880797,0
285,174,0.9933072,1
278,1427,0.95257413,1
255,85,0.9933072,1
220,47,0.9933072,1
139,331,0.95257413,1
189,976,0.880797,0
10,226,0.95257413,1
200,202,0.9933072,1
149,180,0.9933072,1
125,244,0.95257413,1
19,207,0.880797,0
143,741,0.98201376,1
180,929,0.7310586,0
108,565,0.98201376,1
84,1064,0.95257413,1
212,132,0.95257413,1
221,378,0.7310586,0
222,10,0.95257413,1
214,420,0.98201376,1
217,207,0.95257413,1
173,936,0.9933072,1
274,185,0.95257413,1
67,741,0.7310586,0
267,582,0.98201376,1
159,461,0.98201376,1
194,272,0.98201376,1
223,177,0.98201376,1
4,109,0.7310586,0
98,1015,0.9933072,1
1,250,0.9933072,1
291,8,0.98201376,1
71,567,0.98201376,1
84,227,0.95257413,1
82,280,0.9933072,1
91,830,0.880797,0
6,542,0.95257413,1
86,400,0.880797,0
286,925,0.98201376,1
0,154,0.880797,0
233,631,0.880797,0
221,52,0.9933072,1
23,63,0.9933072,1
6,553,0.95257413,1
81,55,0.95257413,1
160,317,0.95257413,1
195,392,0.98201376,1
55,90,0.98201376,1
81,476,0.95257413,1
6,471,0.880797,0
255,760,0.98201376,1
225,55,0.98201376,1
278,740,0.9933072,1
307,1285,0.95257413,1
15,7,0.9933072,1
179,201,0.95257413,1
202,92,0.98201376,1
144,55,0.9933072,1
287,304,0.98201376,1
83,741,0.95257413,1
43,643,0.95257413,1
16,12,0.95257413,1
312,116,0.98201376,1
147,0,0.98201376,1
196,346,0.98201376,1
20,163,0.9933072,1
278,981,0.95257413,1
238,490,0.9933072,1
184,286,0.9933072,1
296,88,0.98201376,1
302,67,0.98201376,1
185,249,0.7310586,0
72,205,0.95257413,1
103,755,0.880797,0
93,215,0.95257413,1
238,193,0.9933072,1
196,510,0.9933072,1
279,0,0.98201376,1
0,116,0.95257413,1
223,582,0.7310586,0
302,396,0.7310586,0
59,161,0.98201376,1
197,257,0.98201376,1
238,512,0.9933072,1
5,68,0.95257413,1
232,374,0.98201376,1
84,641,0.98201376,1
109,37,0.95257413,1
183,521,0.95257413,1
98,872,0.7310586,0
12,417,0.880797,0
200,517,0.98201376,1
12,857,0.7310586,0
213,130,0.95257413,1
295,227,0.98201376,1
221,86,0.95257413,1
278,724,0.98201376,1
216,181,0.880797,0
84,432,0.95257413,1
238,233,0.95257413,1
12,71,0.98201376,1
193,76,0.95257413,1
207,662,0.9933072,1
108,177,0.95257413,1
229,171,0.98201376,1
58,484,0.880797,0
312,477,0.95257413,1
69,1132,0.95257413,1
61,181,0.9933072,1
197,233,0.95257413,1
64,124,0.98201376,1
173,659,0.9933072,1
89,11,0.9933072,1
129,1247,0.95257413,1
99,353,0.880797,0
282,431,0.9933072,1
274,417,0.95257413,1
310,97,0.9933072,1
194,750,0.98201376,1
129,104,0.98201376,1
268,251,0.7310586,0
285,72,0.9933072,1
6,622,0.95257413,1
55,221,0.9933072,1
209,203,0.9933072,1
238,8,0.9933072,1
95,86,0.98201376,1
296,72,0.880797,0
248,238,0.95257413,1
93,859,0.880797,0
83,120,0.98201376,1
274,264,0.98201376,1
134,1045,0.95257413,1
290,1177,0.98201376,1
124,381,0.7310586,0
69,398,0.98201376,1
310,8,0.98201376,1
300,522,0.98201376,1
151,684,0.9933072,1
243,171,0.98201376,1
274,1090,0.880797,0
52,280,0.98201376,1
197,117,0.880797,0
243,789,0.98201376,1
25,124,0.98201376,1
150,12,0.95257413,1
123,495,0.7310586,0
23,190,0.9933072,1
270,64,0.95257413,1
306,633,0.95257413,1
293,1244,0.95257413,1
233,240,0.880797,0
24,500,0.95257413,1
292,136,0.95257413,1
200,431,0.95257413,1
74,239,0.7310586,0
12,180,0.9933072,1
206,67,0.880797,0
1,49,0.9933072,1
312,565,0.98201376,1
143,124,0.98201376,1
187,442,0.98201376,1
275,323,0.98201376,1
144,973,0.7310586,0
71,233,0.98201376,1
82,384,0.98201376,1
180,618,0.95257413,1
108,401,0.98201376,1
206,106,0.95257413,1
184,215,0.98201376,1
13,212,0.9933072,1
148,318,0.880797,0
56,78,0.9933072,1
229,962,0.9933072,1
175,874,0.98201376,1
252,96,0.98201376,1
283,268,0.98201376,1
105,525,0.98201376,1
120,179,0.95257413,1
61,85,0.880797,0
290,417,0.98201376,1
83,1032,0.98201376,1
292,379,0.880797,0
206,57,0.95257413,1
193,186,0.98201376,1
108,96,0.95257413,1
282,844,0.98201376,1
296,274,0.9933072,1
180,333,0.7310586,0
77,254,0.98201376,1
10,424,0.98201376,1
307,58,0.98201376,1
192,1077,0.98201376,1
296,233,0.95257413,1
86,584,0.98201376,1
249,203,0.880797,0
7,49,0.9933072,1
185,147,0.98201376,1
311,691,0.98201376,1
90,682,0.95257413,1
4,453,0.7310586,0
290,375,0.95257413,1
174,126,0.9933072,1
144,736,0.880797,0
6,643,0.9933072,1
275,418,0.9933072,1
82,209,0.9933072,1
101,523,0.95257413,1
152,173,0.7310586,0
61,301,0.95257413,1
48,994,0.95257413,1
267,297,0.95257413,1
206,553,0.880797,0
312,615,0.9933072,1
285,43,0.95257413,1
278,167,0.9933072,1
275,473,0.9933072,1
61,58,0.98201376,1
253,218,0.7310586,0
82,96,0.98201376,1
62,99,0.9933072,1
15,177,0.9933072,1
296,232,0.880797,0
89,944,0.9933072,1
84,24,0.880797,0
41,97,0.98201376,1
302,392,0.98201376,1
273,49,0.9933072,1
103,298,0.95257413,1
93,791,0.98201376,1
183,97,0.98201376,1
292,707,0.95257413,1
247,588,0.98201376,1
17,949,0.95257413,1
216,26,0.7310586,0
199,891,0.98201376,1
200,147,0.7310586,0
295,221,0.9933072,1
6,661,0.95257413,1
195,380,0.98201376,1
68,426,0.95257413,1
71,195,0.98201376,1
255,471,0.98201376,1
127,181,0.98201376,1
150,746,0.95257413,1
6,170,0.95257413,1
285,84,0.9933072,1
171,219,0.98201376,1
307,515,0.98201376,1
189,973,0.880797,0
81,755,0.7310586,0
307,435,0.98201376,1
58,234,0.7310586,0
63,1062,0.95257413,1
144,755,0.880797,0
219,297,0.98201376,1
20,323,0.98201376,1
284,268,0.98201376,1
206,64,0.95257413,1
197,657,0.95257413,1
219,332,0.95257413,1
209,69,0.98201376,1
180,13,0.7310586,0
157,127,0.880797,0
142,681,0.95257413,1
74,236,0.880797,0
198,220,0.98201376,1
222,1149,0.880797,0
296,24,0.98201376,1
275,77,0.98201376,1
298,846,0.98201376,1
